phrase_en,phrase_ru,phrase_uz,topic,difficulty
The quantum physics team simulates particle interactions in virtual environments.,Команда квантовой физики симулирует взаимодействия частиц в виртуальных средах.,Kvant fizikasi jamoasi virtual muhitlarda zarrachalar o'zaro ta'sirini simulyatsiya qiladi.,present_simple,medium
Adventurers summit challenging peaks that demand technical climbing skills.,Авантюristы покоряют сложные вершины, требующие технических навыков альпинизма.,Sarguzashtchilar texnik toqish ko'nikmalarini talab qiladigan qiyin cho'qqilarga chiqadi.,present_simple,medium
The opera house presents grand productions with elaborate sets and costumes.,Оперный театр представляет грандиозные постановки с изысканными декорациями и костюмами.,Opera uyi murakkab dekor va kiyimlar bilan ulkan spektakllarni taqdim etadi.,present_simple,medium
Financial analysts evaluate investment portfolios to maximize returns strategically.,Финансовые аналитики оценивают инвестиционные портфели, чтобы стратегически максимизировать доходы.,Moliyaviy tahlilchilar strategik ravishda daromadni maksimallashtirish uchun investitsiya portfellarni baholaydi.,present_simple,medium
The avian research center bands birds to monitor migration patterns annually.,Центр исследований птиц маркирует птиц, чтобы ежегодно мониторить миграционные паттерны.,Qushlar tadqiqot markazi migratsiya naqshlarini yillik monitoring qilish uchun qushlarni belgilaydi.,present_simple,medium
Novelists delve into alternate histories where pivotal events unfold differently.,Новеллисты погружаются в альтернативные истории, где ключевые события развиваются иначе.,Roman yozuvchilari muhim voqealar boshqacha kechadigan alternativ tarixlarga kiradi.,present_simple,medium
The infrastructure project integrates smart sensors for efficient traffic management.,Проект инфраструктуры интегрирует умные датчики для эффективного управления трафиком.,Infrastruktura loyihasi transportni samarali boshqarish uchun aqlli sensorlarni integratsiya qiladi.,present_simple,medium
Speech therapists teach articulation exercises to children with speech delays.,Логопеды обучают артикуляционным упражнениям детей с задержками речи.,Nutq terapevtlari nutq kechikishi bo'lgan bolalarga artikulyatsiya mashqlarini o'rgatadi.,present_simple,medium
The alpine ski resort grooms slopes for optimal snow conditions daily.,Горнолыжный курорт ухаживает за склонами для оптимальных снежных условий ежедневно.,Alp maktab maskani qor sharoitlarini optimal qilish uchun har kuni yonbag'irlarni tayyorlaydi.,present_simple,medium
Documentarians interview survivors to chronicle untold stories from war zones.,Документалисты интервьюируют выживших, чтобы хроникировать нерассказанные истории из зон войны.,Dokumentalistlar urush zonalaridagi aytib bo'lmagan hikoyalarni yozib olish uchun omon qolganlarni intervyu qiladi.,present_simple,medium
The cultural exchange program connects artists from diverse backgrounds collaboratively.,Программа культурного обмена соединяет художников из разных backgrounds collaboratively.,Madaniy almashinuv dasturi turli fonli rassomlarni hamkorlikda bog'laydi.,present_simple,medium
Herbalists blend potent teas from wild herbs gathered in pristine forests.,Травники смешивают мощные чаи из диких трав, собранных в нетронутых лесах.,O'simlikshunoslar toza o'rmonlarda yig'ilgan yovvoyi o'tlardan kuchli choylarni aralashtiradi.,present_simple,medium
The neuroscience lab maps brain activity during complex decision-making processes.,Лаборатория нейронауки картирует активность мозга во время сложных процессов принятия решений.,Neyrofanlar laboratoriyasi murakkab qaror qabul qilish jarayonlarida miya faolligini xaritalaydi.,present_simple,medium
Explorers chart uncharted territories in the Amazon basin methodically.,Исследователи методично наносят на карту неизведанные территории в бассейне Амазонки.,Kashfiyotchilar Amazon havzasi notanish hududlarini uslubiy ravishda xaritalaydi.,present_simple,medium
The philharmonic orchestra rehearses baroque pieces with period instruments.,Филармонический оркестр репетирует барочные произведения с инструментами той эпохи.,Filarmoniya orkestri davr asboblari bilan barok asarlarni mashq qiladi.,present_simple,medium
Market researchers survey consumer preferences to inform product development strategies.,Исследователи рынка опрашивают предпочтения потребителей, чтобы информировать стратегии разработки продуктов.,Bozor tadqiqotchilari mahsulot ishlab chiqish strategiyalarini ma'lumot berish uchun iste'molchi afzalliklarini so'raydi.,present_simple,medium
The raptor rehabilitation center releases healed eagles back into wild habitats.,Центр реабилитации хищных птиц выпускает вылеченных орлов обратно в дикую природу.,Yirtqich qushlar reabilitatsiya markazi tuzalgan burgutlarni yovvoyi muhitga qaytaradi.,present_simple,medium
Biographers compile letters and diaries to portray historical figures authentically.,Биографы собирают письма и дневники, чтобы аутентично изображать исторических фигур.,Biograflar tarixiy shaxslarni haqiqiy ko'rsatish uchun xatlar va kundaliklarni yig'adi.,present_simple,medium
The renewable energy firm installs solar panels on rooftops for urban sustainability.,Фирма возобновляемой энергии устанавливает солнечные панели на крышах для городской устойчивости.,Qayta tiklanadigan energiya firmasi shahar barqarorligi uchun tom ustiga quyosh panellarini o'rnatadi.,present_simple,medium
Dialect coaches refine accents for actors preparing international film roles.,Тренеры по диалектам уточняют акценты для актёров, готовящихся к международным ролям в кино.,Dialekt murabbiylari xalqaro kino rollariga tayyorgarlik ko'rayotgan aktyorlar uchun aksentlarni takomillashtiradi.,present_simple,medium
The glacial research expedition measures ice melt rates in polar regions.,Экспедиция по исследованию ледников измеряет скорости таяния льда в полярных регионах.,Muzlik tadqiqot ekspeditsiyasi qutb hududlarida muz erishi tezligini o'lchaydi.,present_simple,medium
Sculptors chisel marble blocks into lifelike statues depicting mythical heroes.,Скульпторы высекают мраморные блоки в реалистичные статуи, изображающие мифических героев.,Haykaltaroshlar afsonaviy qahramonlarni tasvirlovchi hayotiy haykallarga marmar bloklarni o'yib chiqaradi.,present_simple,medium

Philosophers contemplate the existential dilemmas that underpin human consciousness in their seminal treatises.,Философы размышляют над экзистенциальными дилеммами, лежащими в основе человеческого сознания, в своих фундаментальных трактатах.,Faylasuflar inson ongining asosida yotgan ekzistensial dilemmalarni o'z fundamental traktatlarida mulohaza qiladi.,present_simple,hard
Neuroscientists elucidate the intricate neural pathways that govern synaptic plasticity during cognitive enhancement therapies.,Нейробиологи объясняют сложные нейронные пути, которые управляют синаптической пластичностью во время терапий по улучшению когнитивных функций.,Neyrobiologlar kognitiv yaxshilash terapiyalarida sinaptik plastisiyani boshqaradigan murakkab neyron yo'llarini tushuntiradi.,present_simple,hard
Linguists deconstruct syntactic ambiguities inherent in polysemous lexemes across diachronic language evolutions.,Лингвисты разбирают синтаксические неоднозначности, присущие полисемичным лексемам в диахронических эволюциях языков.,Tilshunoslar tillarning diaxronik evolyutsiyasidagi polisimik leksemalarga xos sintaktik noaniqliklarni parchalab ko'radi.,present_simple,hard
Economists extrapolate macroeconomic trajectories predicated on fiscal austerity measures implemented amid geopolitical volatilities.,Экономисты экстраполируют макроэкономические траектории, основанные на мерах фискальной аскетичности, внедрённых посреди геополитических волатильностей.,Iqtisodchilar geosiyosiy o'zgaruvchanliklar orasida joriy etilgan fiskal qattiqqo'llik choralariga asoslangan makroiqtisodiy traektoriyalarni bashorat qiladi.,present_simple,hard
Anthropologists ethnographically delineate the ritualistic practices that perpetuate matrilineal kinship structures in indigenous matriarchies.,Антропологи этнографически описывают ритуалистические практики, которые поддерживают матрилинейные родственные структуры в индейских матриархатах.,Antropologlar mahalliy matriaxatlarda matriliney qarindoshlik tuzilmalarini saqlab qoladigan ritualistik amaliyotlarni etnografik ravishda tasvirlaydi.,present_simple,hard
Astrophysicists hypothesize the accretion disk dynamics that catalyze supermassive black hole formations in galactic nuclei.,Астрофизики предполагают динамику аккреционных дисков, которые катализируют формирование сверхмассивных чёрных дыр в галактических ядрах.,Astrophysiklar galaktika yadrolarida supermassiv qora tuynuklar shakllanishini kataliz qiladigan akkretsiya disk dinamikasini faraz qiladi.,present_simple,hard
Theorists in quantum field theory formalize the renormalization procedures essential for perturbative calculations in electroweak interactions.,Теоретики в квантовой теории поля формализуют процедуры ренормализации, необходимые для пертурбативных расчётов в электрослабых взаимодействиях.,Kvant maydon nazariyasi nazariotchilari elektroslab o'zaro ta'sirlarda perturbativ hisob-kitoblar uchun zaruriy renormallashtirish protseduralarini rasmiylashtiradi.,present_simple,hard
Bioethicists interrogate the moral quandaries engendered by CRISPR-Cas9 genome editing in heritable genetic disorders.,Биоэтики расследуют моральные дилеммы, порождённые редактированием генома CRISPR-Cas9 в наследственных генетических расстройствах.,Bioetiklar CRISPR-Cas9 genom tahririning irsiy genetik buzilishlarda keltirib chiqaradigan axloqiy dilemmalarni so'raydi.,present_simple,hard
Sociologists scrutinize the intersectional oppressions that exacerbate socioeconomic disparities within urban underclass communities.,Социологи тщательно изучают интерсекциональные угнетения, которые усугубляют социально-экономические диспаритеты в городских сообществах низшего класса.,Sotsiologlar shahar pastki sinf jamoalarida ijtimoiy-iqtisodiy nomutanosibliklarni kuchaytiradigan intersektsion zulmlarni sinchkovlik bilan o'rganadi.,present_simple,hard
Paleontologists reconstruct phylogenetic cladograms that illuminate evolutionary divergences among Devonian tetrapodomorphs.,Палеонтологи реконструируют филогенетические кладограммы, которые освещают эволюционные расхождения среди девонских тетраподоморфов.,Paleontologlar Devon tetrapodomorflari orasidagi evolyutsion farqlarni yorituvchi filogenetik kladogrammalarni qayta quradi.,present_simple,hard
Epistemologists delineate the justificatory frameworks that underpin reliabilist theories of epistemic warrant in fallible belief systems.,Эпистемологи описывают оправдательные рамки, которые лежат в основе теории надёжности эпистемического основания в ошибочных системах верований.,Epistemologlar xato e'tiqod tizimlarida epistemik kafolatning ishonchli nazariyasining asosida yotgan oqlovchi ramkalarni belgilaydi.,present_simple,hard
Climatologists model the feedback loops that amplify anthropogenic radiative forcings in polar amplification scenarios.,Климатологи моделируют петли обратной связи, которые усиливают антропогенные радиационные принуждения в сценариях полярной амплификации.,Iqlimshunoslar qutb amplifikatsiyasi ssenariylarida antropogen radiatsion majburiy kuchayishini kuchaytiradigan teskari aloqa halqalarini modellashtiradi.,present_simple,hard
Semioticians decode the polysemous signifiers embedded within postmodern metanarratives that subvert hegemonic discourses.,Семиотики декодируют полисемичные означающие, встроенные в постмодернистские метанарративы, которые подрывают гегемонические дискурсы.,Semiyotiklar gemonik diskurslarni buzuvchi postmodern metanarrativlar ichidagi polisimik belgilarni dekodlaydi.,present_simple,hard
Geopoliticians prognosticate the escalatory spirals precipitated by proxy conflicts in multipolar international orders.,Геополитики предсказывают эскалационные спирали, вызванные прокси-конфликтами в мультиполярных международных порядках.,Geosiyosatchilar ko'p qutbli xalqaro tartibdagi proksi mojarolar sababli kuchayish spiralini bashorat qiladi.,present_simple,hard
Immunologists delineate the antigenic drift mechanisms that evade humoral immunity in influenza virus variants.,Иммунологи описывают механизмы антигенного дрейфа, которые уклоняются от гуморального иммунитета в вариантах вируса гриппа.,Immunologlar gripp virusi variantlarida gumorol immunitetdan qochadigan antigen drift mexanizmlarini belgilaydi.,present_simple,hard
Deontologists advocate for categorical imperatives that transcend consequentialist utilitarianism in ethical decision paradigms.,Деонтологи отстаивают категорические императивы, которые превосходят консеквенциалистский утилитаризм в этических парадигмах принятия решений.,Deontologlar axloqiy qaror paradigmalarda oqibatga asoslangan utilitarizmni ustun qo'yadigan kategorik imperativlarni himoya qiladi.,present_simple,hard
Ontologists interrogate the modal logics that underpin possible worlds semantics in metaphysical contingency analyses.,Онтологи расследуют модальную логику, лежащую в основе семантики возможных миров в анализах метафизической контингентности.,Ontologlar metafizik kontingentsiya tahlillarida mumkin bo'lgan olamlar semantikasining asosida yotgan modal mantig'ni so'raydi.,present_simple,hard
Hydrologists quantify the recharge rates of karst aquifers influenced by anthropogenic land-use transformations.,Гидрологи количественно определяют скорости пополнения карстовых водоносных горизонтов, подверженных антропогенным трансформациям землепользования.,Gidrologlar antropogen yer foydalanish transformatsiyalari ta'siridagi karst suv o'tkazuvchi qatlamlarning to'ldirish tezligini miqdoriy baholaydi.,present_simple,hard
Phenomenologists bracket the noetic-noematic correlations that constitute intentionality in transcendental ego structures.,Феноменологи ставят в скобки ноэтическо-ноэматические корреляции, которые составляют интенциональность в структурах трансцендентального эго.,Fenomenologlar transsendental ego tuzilmalarida intellektual niyatni tashkil etuvchi noetik-noematik korrelyatsiyalarni qavs ichiga oladi.,present_simple,hard
Cognitivists operationalize the schema assimilation processes that facilitate conceptual schema evolution in Piagetian developmental stages.,Когнитивисты опериционализируют процессы ассимиляции схем, которые способствуют эволюции концептуальных схем на пиажежеских стадиях развития.,Kognitivistlar Piaget rivojlanish bosqichlarida kontseptual sxema evolyutsiyasini osonlashtiradigan sxema assimilyatsiya jarayonlarini operatsionalizatsiya qiladi.,present_simple,hard
Ecofeminists critique the patriarchal anthropocentrism that perpetuates ecological degradation through gendered environmental discourses.,Экофеминистки критикуют патриархальный антропоцентризм, который поддерживает экологическую деградацию через гендерные экологические дискурсы.,Ekofeministlar jinsiy ekologik diskurslar orqali ekologik degradatsiyani saqlab qoladigan patriarxal antropotsentrizmni tanqid qiladi.,present_simple,hard
Topologists classify the homotopy equivalence classes that characterize manifold embeddings in higher-dimensional Euclidean spaces.,Топологи классифицируют классы гомотопической эквивалентности, которые характеризуют вложения многообразий в евклидовы пространства более высокой размерности.,Topologlar yuqori o'lchovli evklid fazolaridagi manifold embeddinglarini xarakterlaydigan gomotopy ekvivalentlik sinflarini tasniflaydi.,present_simple,hard
Pragmatists espouse the instrumentalist epistemologies that validate beliefs through their practical verifiability in experiential contexts.,Прагматисты поддерживают инструменталистские эпистемологии, которые валидируют убеждения через их практическую верифицируемость в experiential контекстах.,Pragmatiklar tajribaviy kontekstlarda amaliy tasdiqlanadigan e'tiqodlarni haqiqiy qiladigan instrumentalist epistemologiyalarni himoya qiladi.,present_simple,hard
Glaciologists monitor the isostatic rebound dynamics consequent upon deglaciation in post-Last Glacial Maximum terrains.,Гляциологи мониторят динамику изостатического отскока, последующую за дегляциацией в террейнах после последнего максимума оледенения.,Glatsiologlar Oxirgi Muzlik Maksimumi keyingi terennarda deglatsiatsiya oqibatidagi izostatik qaytish dinamikasini kuzatadi.,present_simple,hard
Hermeneuticists interpret the hermeneutic circles that mediate textual understandings within Gadamerian fusion of horizons paradigms.,Герменевтики интерпретируют герменевтические круги, которые опосредуют понимание текстов в гадемеровских парадигмах слияния горизонтов.,Germeneytiklar Gadamer ufqlar birlashishi paradigmalarda matn tushunishini vositalashtiradigan germeneytik doiralarni talqin qiladi.,present_simple,hard
Kinesiologists biomechanically analyze the kinematic chains that optimize athletic performance in biomechanical modeling frameworks.,Кинезиологи биомеханически анализируют кинематические цепи, которые оптимизируют спортивные результаты в рамках биомеханического моделирования.,Kineziologlar biomekanik modellashtirish doiralarida sport natijalarini optimallashtiradigan kinematik zanjirlarni biomekanik tahlil qiladi.,present_simple,hard
Postcolonial theorists deconstruct the Eurocentric hegemonies that marginalize subaltern voices in neocolonial global orders.,Постколониальные теоретики деконструируют евроцентрические гегемонии, которые маргинализируют субальтерновые голосы в неоколониальных глобальных порядках.,Postkolonial nazariyotchilar neokolonial global tartibda subaltern ovozlarni chetga suradigan evrotsentrik gemoniyalarni dekonstruksiya qiladi.,present_simple,hard
Seismologists seismically delineate the fault rupture propagations that precipitate megathrust earthquakes in subduction zones.,Сейсмологи сейсмически описывают распространения разрывов разломов, которые вызывают мега-thrust землетрясения в зонах субдукции.,Seismologlar subduksiya zonalarida megathrust zilzilalarini keltirib chiqaradigan yoriq yorilish tarqalishini seysmik belgilaydi.,present_simple,hard
Axiologists axiomatize the value monisms that reconcile pluralistic ethical relativisms in normative ethical theories.,Аксиологи аксиоматизируют ценностные монизмы, которые примиряют плюралистические этические релятивизмы в нормативных этических теориях.,Aksiologlar normativ axloqiy nazariyalarda pluralistik axloqiy relativizmlarni yarashtiradigan qiymat monizmlarini aksiomalashtiradi.,present_simple,hard
Volcanologists volcanologically characterize the effusive eruption styles that dominate silicic caldera complexes.,Вулканологи вулканологически характеризуют эффузивные стили извержений, которые доминируют в силициевых кальдерных комплексах.,Vulkanologlar silitsiy kaldera komplekslarida ustunlik qiladigan efuziv portlash uslublarini vulkanologik xarakterlaydi.,present_simple,hard
Structuralists structurally unpack the binary oppositions that structure mythopoetic narratives in Levi-Straussian analyses.,Структурaлисты структурно разбирают бинарные оппозиции, которые структурируют мифопоэтические нарративы в леви-страуссовских анализах.,Strukturalistlar Levi-Strous tahlillarida mifopoetik narrativlarni tuzuvchi binar oppozitsiyalarni struktural parchalaydi.,present_simple,hard
Ornithologists ornithologically survey the migratory phenologies that synchronize avian breeding cycles with climatic optima.,Орнитологи орнитологически обследуют миграционные фенологии, которые синхронизируют циклы размножения птиц с климатическими оптимумами.,Ornitologlar qushlar ko'payish sikllarini iqlim optimalari bilan sinxronlashtiradigan migratsion fenologiyalarni ornitologik so'raydi.,present_simple,hard
Psycholinguists psycholinguistically probe the prosodic contours that facilitate pragmatic inferences in conversational implicatures.,Психолингвисты психолингвистически исследуют просодические контуры, которые способствуют прагматическим выводам в разговорных импликатурах.,Psixolingvistlar suhbat implicaturalarida pragmatik xulosalarni osonlashtiradigan prosodik konturlarni psixolingvistik o'rganadi.,present_simple,hard
Cosmologists cosmologically infer the inflationary paradigms that homogenize cosmic microwave background anisotropies.,Космологи космологически выводят инфляционные парадигмы, которые гомогенизируют анизотропии космического микроволнового фона.,Kosmologlar kosmik mikroto'lqin fon anisotropiyalarini gomogenizatsiya qiladigan inflyatsion paradigmalarni kosmologik chiqaradi.,present_simple,hard
Dramaturgists dramaturgically dissect the anagnorisis moments that catalyze peripeteia in Aristotelian tragic structures.,Драматурги драматургически разбирают моменты анагнорисиса, которые катализируют перипетию в аристотелевских трагических структурах.,Dramaturgistlar Aristotelik trajik tuzilmalarda peripetiyani kataliz qiladigan anagnorisis lahzalarini dramaturgik parchalaydi.,present_simple,hard
Phonologists phonologically formalize the allophonic distributions that condition phonemic neutralizations in assimilation rules.,Фонологи фонологически формализуют аллофонные распределения, которые обусловливают фонемные нейтрализации в правилах ассимиляции.,Fonologlar assimilyatsiya qoidalarida fonemik neytrallashuvlarni shartlaydigan alofon taqsimotlarini fonologik rasmiylashtiradi.,present_simple,hard
Ethnomusicologists ethnomusically transcribe the polyrhythmic ostinatos that underpin gamelan ensemble textures in Javanese court traditions.,Этномузыковеды этномузыкально транскрибируют полиритмические остинато, которые лежат в основе текстур ансамбля гамелан в яванских дворцовых традициях.,Etno-muzikshunoslar Yavonski saroy an'analarida gamelan ansambl teksturalarining asosida yotgan poliritmik ostinatolarni etno-muzik transkripsiya qiladi.,present_simple,hard
Graph theorists graph-theoretically enumerate the chromatic polynomials that quantify graph colorings in planar graph theorems.,Теоретики графов граф-теоретически перечисляют хроматические полиномы, которые количественно определяют раскраски графов в теоремах планарных графов.,Graf nazariyotchilari planarniy graf teoremalarida graf bo'yashlarini miqdoriy belgilaydigan xromatik polinomlarini graf-nazariy hisoblaydi.,present_simple,hard
Queer theorists queer-theoretically subvert the heteronormative binaries that constrain gender performativities in Butlerian frameworks.,Квир-теоретики квир-теоретически подрывают гетеронормативные бинарные оппозиции, которые ограничивают гендерные перформативности в буллерианских фреймворках.,Kvir nazariyotchilar Butler freymvorklarida jins performativliklarini cheklaydigan geteronormativ binarlarni kvir-nazariy buzadi.,present_simple,hard
Paleoclimatologists paleoclimatologically reconstruct the Milankovitch forcings that modulated glacial-interglacial transitions.,Палеоклиматологи палеоклиматологически реконструируют Миланковича forcings, которые модулировали переходы ледниково-межледниковые.,Paleoklimatologlar muzlik-arzhi muzlik o'tishlarini modulatsiya qiladigan Milankovich majburiy kuchlarini paleoklimatologik qayta quradi.,present_simple,hard
Narratologists narratologically analyze the focalizations that mediate narrative unreliabilities in postmodern metafictional texts.,Нарратологи нарратологически анализируют фокализации, которые опосредуют нарративные ненадёжности в постмодернистских метапрозаических текстах.,Narratologlar postmodern metafiksion matnlarda narrativ ishonchsizliklarini vositalashtiradigan fokalizatsiyalarni narratologik tahlil qiladi.,present_simple,hard
Aerobiologists aerobiologically assess the microbial consortia that catalyze biogeochemical cycles in stratospheric aerosol layers.,Аэробиологи аэробиологически оценивают микробные консорциумы, которые катализируют биогеохимические циклы в стратосферных аэрозольных слоях.,Aerobiologlar stratosfera aerosol qatlamlarida biogeokimyoviy sikllarni kataliz qiladigan mikrob konsortsiumlarini aerobiologik baholaydi.,present_simple,hard
Deconstructionists deconstructionally destabilize the logocentric hierarchies that privilege phonocentrism over graphocentrism in Derridean critiques.,Деконструкционисты деконструкционально дестабилизируют логocentric иерархии, которые отдают предпочтение фонцентризму перед графцентризмом в дерридеанских критиках.,Dekonstruksionistlar Derrida tanqidlarida grafotsentrizm ustidan fonotsentrizmga ustunlik beradigan logotsentrik ierarxiyalarni dekonstruktsion dastabilizatsiya qiladi.,present_simple,hard
Chronobiologists chronobiologically delineate the circadian oscillator networks that entrain peripheral clocks to central suprachiasmatic nuclei.,Хроно биологи хроно биологически описывают сети циркадных осцилляторов, которые синхронизируют периферические часы с центральными супрахиазматическими ядрами.,Xronobiologlar markaziy supraxiazmatik yadrolarga periferik soatlarni sinxronlashtiradigan sirkadian osillyator tarmoqlarini xronobiologik belgilaydi.,present_simple,hard
Syntacticians syntactically formalize the c-command asymmetries that govern anaphoric binding in minimalist program architectures.,Синтаксисты синтаксически формализуют асимметрии c-command, которые управляют анафорическим связыванием в архитектурах минималистской программы.,Sintaktiklar minimalist dastur arxitekturalarida anaforik bog'lashni boshqaradigan c-command assimetriyalarini sintaktik rasmiylashtiradi.,present_simple,hard
Ecocritics ecocritically interrogate the anthropomorphic projections that anthropomorphize nonhuman agencies in environmental literatures.,Экокритики экокритически расследуют антропоморфные проекции, которые антропоморфизируют нечеловеческие агентства в экологических литературах.,Ekokritiklar ekologik adabiyotlarda inson bo'lmagan agentliklarni antropomorfizatsiya qiladigan antropomorf proyeksiyalarni ekokritik so'raydi.,present_simple,hard
Heliophysicists heliophysically model the coronal mass ejection propagations that disrupt magnetospheric dynamos.,Гелиофизики гелиофизически моделируют распространения корональных масс выбросов, которые нарушают магнитосферные динамо.,Geliophiziklar magnitosfer dinamolarini buzuvchi koronar massa chiqarish tarqalishlarini geliophizik modellashtiradi.,present_simple,hard
Psychoanalysts psychoanalytically unpack the Oedipal complexes that sublimate libidinal drives in Freudian topographic models.,Психоаналитики психоаналитически разбирают Эдиповы комплексы, которые сублимируют либидные влечения в фрейдистских топографических моделях.,Psixoanalitiklar Freyd topografik modellarida libidinal impulslarini sublimatsiya qiladigan Oidip komplekslarini psixoanalitik parchalaydi.,present_simple,hard
Morphologists morphologically derive the inflectional paradigms that encode case syncretisms in synthetic language morphologies.,Морфологи морфологически выводят инфлекционные парадигмы, которые кодируют синкретизмы падежей в морфологиях синтетических языков.,Morfologlar sintetik tillar morfologiyalarida hol sinxretizmlarini kodlaydigan infleksion paradigmalarni morfologik chiqaradi.,present_simple,hard
Transpersonal psychologists transpersonally explore the peak experiences that transcend egoic boundaries in Maslowian self-actualization hierarchies.,Трансперсональные психологи трансперсонально исследуют пиковые переживания, которые преодолевают эгоические границы в масловских иерархиях самодеятельности.,Transpersonal psixologlar Maslov o'z-o'zini amalga oshirish ierarxiyalarida ego chegaralarini yenguvchi pik tajribalarni transpersonal o'rganadi.,present_simple,hard
Agroecologists agroecologically assess the agroecosystem services that mitigate biodiversity losses in agroforestry polycultures.,Агроэкологи агроэкологически оценивают услуги агроэкосистем, которые смягчают потери биоразнообразия в агролесных поликультурах.,Agroekologlar agroo'rmon polikulturallarida biologik xilma-xillik yo'qotishlarini yumshatadigan agroekotizim xizmatlarini agroekologik baholaydi.,present_simple,hard
Speculative realists speculatively de-realize the correlationist paradigms that conflate human access with ontological reality.,Спекулятивные реалисты спекулятивно дреализуют корреляционистские парадигмы, которые сливают человеческий доступ с онтологической реальностью.,Spekulyativ realistiklar ontologik haqiqat bilan inson kirishini aralashtiradigan korrelyatsionist paradigmalarni spekulyativ de-realizatsiya qiladi.,present_simple,hard
Petrologists petrologically classify the petrogenetic assemblages that crystallize from mantle-derived peridotite melts.,Петрологи петрологически классифицируют петрогенетические ассамблеи, которые кристаллизуются из мантийных плавок перидотита.,Petrologlar mantiya kelib chiqqan peridotit eritmalaridan kristallanishgan petrogenetik assambleyalarni petrologik tasniflaydi.,present_simple,hard
Affect theorists affect-theoretically map the affective economies that circulate intensities in Deleuze-Guattarian rhizomatic assemblages.,Теоретики аффекта аффект-теоретически наносят на карту аффективные экономики, которые циркулируют интенсивности в делёз-гуаттарианских ризоматических ассамблеях.,Afekt nazariyotchilar Delez-Guattari rizomatik assambleyalarida intensivliklarni aylantiradigan afektiv iqtisodiyotlarni afekt-nazariy xaritalaydi.,present_simple,hard
Paleoecologists paleoecologically reconstruct the paleoecosystem dynamics that precipitated mass extinction events in Phanerozoic eon.,Палеоэкологи палеоэкологически реконструируют динамику палеоэкосистем, которые вызвали массовые вымирания в фанерозойском эоне.,Paleoekologlar Fanerozoy eonida ommaviy yo'q bo'lib ketish voqealarini keltirib chiqargan paleoekotizim dinamikasini paleoekologik qayta quradi.,present_simple,hard
Critical pedagogues critically pedagogically interrogate the hidden curricula that reproduce class hegemonies in neoliberal educational apparatuses.,Критические педагоги критически педагогически расследуют скрытые учебные планы, которые воспроизводят классовые гегемонии в неолиберальных образовательных аппаратах.,Kritik pedagoglar neoliberallar ta'lim apparatlarida sinf gemoniyalarini qayta ishlab chiqaradigan yashirin o'quv dasturlarini kritik pedagogik so'raydi.,present_simple,hard
Exobiologists exobiologically hypothesize the extremophile metabolisms that sustain putative biosignatures on exoplanetary surfaces.,Экзобиологи экзобиологически предполагают метаболизмы экстремофилов, которые поддерживают предполагаемые биосигнатуры на поверхностях экзопланет.,Ekzobiologlar ekzoplaneta yuzalarida taxminiy biosignalarni saqlab qoladigan ekstremofil metabolizmlarini ekzobiologik faraz qiladi.,present_simple,hard
New materialists new-materialistically vitalize the agential capacities that intra-act in Baradian posthumanist ontologies.,Новые материалисты ново-материалистически оживляют агентские способности, которые интра-действуют в барадианских постгуманистских онтологиях.,Yangi materialistlar Barad postgumanist ontologiyalarida intra-akt qiladigan agentlik qobiliyatlarini yangi-materialistik vitalizatsiya qiladi.,present_simple,hard
Stratigraphers stratigraphically correlate the biostratigraphic zonations that delineate chronostratigraphic boundaries in sedimentary successions.,Стратиграфы стратиграфически коррелируют биостратиграфические зоны, которые очерчивают хроностратиграфические границы в осадочных последовательностях.,Stratigraflar cho'kindi ketma-ketligidagi xronostratigrafik chegaralarni belgilaydigan biostratigrafik zonatsiyalarni stratigrafik korrelyatsiya qiladi.,present_simple,hard
Object-oriented ontologists object-oriented-ontologically withdraw the withdrawn objects that resist human-centric correlations in Harmanian philosophies.,Объектно-ориентированные онтологи объектно-ориентированно-онтологически отводят отстранённые объекты, которые сопротивляются гуманоцентричным корреляциям в харманианских философиях.,Ob'ektga yo'naltirilgan ontologlar Harman falsafalarida inson markazli korrelyatsiyalarga qarshilik qiladigan chetga surilgan ob'ektlarni ob'ekt-yo'naltirilgan ontologik chetga suradi.,present_simple,hard
Phytochemists phytochemically isolate the bioactive phytochemicals that modulate pharmacological pathways in ethnopharmacological traditions.,Фитохимики фитохимически изолируют биактивные фитохимикаты, которые модулируют фармакологические пути в этнофармакологических традициях.,Fitoximiklar etnofarmakologik an'analarda farmakologik yo'llarni modulatsiya qiladigan bioaktiv fitoximikatlarni fitoximik izolyatsiya qiladi.,present_simple,hard
Accelerationists accelerationistically accelerate the technological singularities that catalyze post-capitalist societal transformations.,Акцелерационисты акселерационистски ускоряют технологические сингулярности, которые катализируют посткапиталистические социальные трансформации.,Akse leratsionistlar post-kapitalistik jamiyat transformatsiyalarini kataliz qiladigan texnologik singularliklarni akse leratsionist tezlashtiradi.,present_simple,hard
Micropaleontologists micropaleontologically enumerate the foraminiferal biofacies that proxy paleoceanographic conditions in deep-sea cores.,Микропалеонтологи микропалеонтологически перечисляют фораминиферные биофации, которые проксируют палеоокеанографические условия в глубоководных кернах.,Mikropaleontologlar chuqur dengiz kernlarida paleookeanografik sharoitlarni proksi qiladigan foraminiferal biofatsiyalarni mikropaleontologik hisoblaydi.,present_simple,hard
